"QAINDEX";"CLINIC";"QUESTION";"ANSWER";"SNAPSHOT"
0;"中医科";"阴囊痒,有骚味,找中医看看";"你好，这种情况多久了？ 嗯 不是 这个有关系吗 有不洁性生活史吗 小便正常吗 以前有过这样情况吗 有用药调理吗 服用的什么药 医生给你全面问诊了吗 结合脉诊和舌诊吗 服用多久了 这里面的药有滋阴清虚热补肾的功效 知柏地黄丸用于阴虚火旺，潮热盗汗，口干咽痛，耳鸣遗精，小便短赤。你看您对症吗 复方玄驹胶囊用于肾阳虚，症见神疲乏力，精神不振，腰膝酸软，少腹阴器发凉，精冷滑泄，肢冷尿频，性欲低下，功能性勃起功能障碍，你看哪个您对症 这两个药是相反的 一个是补肾阴一个是补肾阳 你看你哪个症状相符 从您描述症状还是考虑一个肾阳虚 湿热下注您有小便短赤的症状吗 平时注意个人卫生吗？有每天清洗生殖系统吗 你描述的精神状态的异常还是考虑一个肾阳虚的问题 阴囊潮湿有异味的话建议您平时可以注意清洗生殖部位，可以用一些外用洗剂比如川柏之类的 是的这个是对症的治疗 你自己都可以给你诊断了 可以适当的活动，增强自身的免疫力 我看你方子里的药物还是对症的，你可以先把肾阳虚调理好，把精神状态调理好，然后再补阴虚的症状，以达到阴阳平衡的状态";2020/3/19
1;"中医科";"产后42天宫腔内见1.4×0.4cm条形稍强回声";"你好，能把彩超结果发给我看看么 你恶露啥时候干净？ 你产后出院前复查的B超怎样 噢噢，不算严重 我们这里一般产后都会复查B超，没有什么才给出院 这么小不一定需要清宫 他不是叫你一周后复查吗 复查后还在吃点药 有些人也会等下次月经一起排出来，但是因为你是产后，不一定这么快来月经的 是的 不是说血少 这个就是这个面积，可能是残留的血块 排不干净 很多人人流后也会有 抽血检查可以 你这个不大，基本可以用药物就能排出来 嗯，我说的是你的检查结果都正常 抽血的 也有遇到过要二次清宫的，有些人宫缩不好，排不干净 没有看到你的凝血六项检查呀 我说的是你抽血的结果正常 可以的 因为你没有办法等到下次月经来 你这个全血是没有问题的 所以要先试，先用药物，不行再清宫 是的 所以不可能等月经 有些人吃两天这样都可以排出来了 可以的，你得先试，实在不行再清宫 因清宫也是一种有创的操作 你是产后 所以是考虑产后子宫内的血块等排不干净 所以一般42天产后复查看看子宫恢复情况 清宫的话是要有器械伸到子宫里刮的";2020/3/19
2;"中医科";"胸闷气短,一说话就出汗没劲";"你好，请问这种情况有多长时间了？ 你好，有没有胸痛，心悸，头晕乏力，面色苍白，畏寒怕冷等别的不舒服？ 既往有高血压心脏病等别的基础疾病吗 你好，我这边没看到图像，是否上传？ 这个血压稍微临界值 以前发现过血压高吗 有没有吃降压药 你好，这个血糖是空腹测的还是吃饭后测的？ 血脂高，血糖高，尿白细胞1＋ 你好，血糖如果是空腹测的话是偏高的 但是如果确诊还需要做个糖耐量检查和c肽释放实验 你好，建议你去完善一下糖尿病相关抽血检查，这个血糖值比较高 可能是一时性摄入太多糖分引起的，但是糖尿病或者是糖尿病前病变可能性大 胆固醇高，血脂相对比正常人高，建议平时低脂饮食，减少动物内脏、油脂类食物摄入，适当运动增加脂肪代谢 你好，胸闷气短，动则汗出很可能是气虚不固引起的 你好，建议用玉屏风颗粒配合黄芪口服液益气固表敛阴止汗 你好，正常人体内胰岛素释放功能正常的话，就算摄入比较多的糖分，空腹血糖也不会高于6.1的 所以还是建议尽早去医院排查一下，如果是早期的话看看能不等通过饮食、运动控制 糖耐量，糖化血红蛋白，c肽释放实验 如果都查过了是可以确诊的 有没有空腹抽血，然后给你喝一杯糖水，然后再在1小时、2小时分别再抽血 你好，除了血糖高，血脂高。别的都没有什么大问题 你好，糖耐量实验就是这么做的，评估你体内血糖代谢水平 所以平时你抽血测的血糖值只能评估现在的血糖，而不能代表近期血糖波动水平和胰岛素释放功能 所以还要配合几个抽血项目检查以确诊 你好，窦缓看心率有多慢。一般不是非常慢的话问题不大 你可以自己摸脉看看每分钟跳的多少啊哈 次 因为有些人气血不足，血脉濡养不够，灌注量小，所以可能心跳会慢一些 还有一些是生理性的原因 你这个心率是正常的 正常是60—100次，低于60才是窦缓，超过100为窦速 正常低压不应该超过90，你这是舒张压偏高了 你好，建议如果服了药物以后还有长期血压高的话去心血管科调整降压药。还有，关于血糖问题。你的糖化血红蛋白高。反应近三个月血糖水平处于高的状态，估计你这个就是糖尿病了，建议规范化去内分泌科治疗 问题已经回答完毕，希望我的建议对你有所帮助，如有疑问可以再次追问，要是没问题，欢迎给我一个“满意”评价，评价页面因系统版本的不同而不同，一般问题关闭后显示评价按钮，你的“满意”是对我的支持和鼓励，谢谢。";2020/3/19
3;"中医科";"耳朵右上方长包经常上火会发炎有什么影响";"您好请问您这种情况多久了？ 痛？还是痒？？ 平时有什么饮食习惯么？？ 会经常吃煎炸的辣的东西么？ 之前用过什么药物没有？ 是不是吃了之后，症状会加重 外用的也没用过？？ 平时会不会吃点清热的中药呢？ 平时大小便怎么样？？ 囊肿，不像 看着像湿疹 因为囊肿，一般不会反复感染 一年前，因为什么喝中药？？ 是耳朵问题？ 喝之前不会有这种痒痛感？？ 湿疹感染，会流脓 湿疹如果稳定，就是偶尔痒痒 可以发个舌像给我看看么？ 这个皮肤问题，跟饮食很大关系的，辛辣刺激煎炸高热量还有海鲜，都不能吃 吃了可能会加重 内热还是比较重的 舌尖边都比较红 还有啤酒烧烤，也不能吃 你可以内外一起治 外用，可以用点冰硼散 或者六神凝胶外用 你也可以先吃几天上清丸或者银翘解毒丸 先吃3-5天 如果担心，可以先外用 也可以 但是不能吃太久了 这个不是你本人吧？ 你也要注意饮食，不能吃了辣的去吃生冷寒凉的，比如水果冷饮之类的 内热不重 不能乱吃清热药物 不用谢 不是觉得热气，就要吃清热药物的，吃多了，容易体寒 和你老公一样，尽量避免高蛋白，高热量，什么辣的，炸的，海鲜，烧烤，酒，尽量不吃不喝";2020/3/19
4;"中医科";"腰疼白带有血丝是怎么回事";"你好，平常月经规律吗？ 母乳喂养吗？ 查过彩超吗？ 有盆腔积液吗？ 有腰椎间盘突出吗？坠痛还是刺痛？ 建议查个腰椎的ct看看是否有腰椎的问题，出血考虑有可能是月经，也可能是宫颈糜烂引起 建议用治疗宫颈糜烂的药物，用一段时间看看是否缓解 保妇康栓，中成药 很有可能的，用点妇科洗液冲洗完，塞栓剂 可以暂时不做 宫颈癌可以去筛查tct 可以11月份一起查 红核妇洁洗液或者苦参洗剂 中成药的就可以 毕竟哺乳期 也可以的，正常，如果不适，可以换红核妇洁洗液 不是过敏，应该是炎症 过敏可能红肿，痒痛！停药后也会持续一段时间 用一种就行 一周停药观察看看，都差不多，都可以用  有关系的 正常的，需要个恢复过程的 影响不大 可以的";2020/3/19
5;"中医科";"汇仁肾宝片可以跟六味地黄丸一起吃吗";"你好，你有什么症状？ 建议您吃点六味地黄丸 汇仁肾宝片不建议您用 家里有什么药 腰是酸软无力吗？ 有无力感吗？ 以前有纵欲手淫史吗？ 大概多长时间一次，然后总共有多长时间？ 是的 您这个腰酸痛无力，有多长时间？ 说事活动活动算不算？ 酸不酸 做事活动活动腰部，还酸不酸？ 麻烦您自然光线下，关闭手机相机美化功能，放松地伸出舌头，拍一张舌苔及舌下静脉照片。谢谢您的配合！ 这个照片能拍清楚一点吗？ 舌下静脉再拍一张。 您这个方便吃中药吗？ 就是中药饮片或者是颗粒啊之类的。 如果您不方便的话，您就用点中成药。 可能有点肾的亏损。外加风寒湿痹。 等同于肾虚 这样吧，您用这两种药吃一个礼拜看看，不行再过来看看。中药治疗您腰部酸软无力，可能需要一个礼拜有效，一般半个月到一个月治愈。如果您想吃中药，您可以过来找我复诊开中药。麻烦您帮我点个五星好评。谢谢！我叫高勇，芜湖市中医院的。复诊您点我头像，就可以找我复诊了，还不行的话您就找平台客服咨询。最后麻烦您帮我点个满意的评价。";2020/3/19
6;"中医科";"肾虚尿频每天晚上不停的夜尿怎么回事";"你好，请问这种情况有多长时间了？ 可以发张照片看下舌苔吗？只拍舌头照片，拍清楚，发原图 好 好，您平时怕冷还是怕热？ 好，我看您个人信息上是29岁，男性，是您本人吗好，夜尿一般几次 好，夜里夜尿一般几次呢？ 好，平时睡眠怎么样，有入睡困难吗，夜尿这么多休息肯定也不太好吧 好，平时小便有异常感觉吗，比如灼热感涩痛之类的？ 嗯好，平时吃饭怎么样，胃口饭量方面 好，口干口渴有吗 好，平时大便成形吗，有没有黏池 好，例假怎么样，颜色暗还是淡，质地稍稀还是偏稠，有没有宫寒痛经，有无血块，周期规律吗，一般提前或错后几天？ 好，目前考虑您主要是肾阳虚，之前有治疗吗，效果怎么样 好，我给您个方子调理一段时间吧 您平时吃饭吃凉的舒服些还是热的舒服些？ 中成药效果很弱，您的情况稍微重一些，如果可以最好是中药成药方案，补中益气丸和缩泉丸饭前半小时吃，金匮肾气丸饭后半小时吃 嗯，中药会比中成药快些，想快点就用中药 您之前用过吗，如果用了不舒服您把它换成黄芪颗粒 用黄芪颗粒的目的重在补气，尿频除了和肾虚有关，一般也与肺脾气虚有关，所以用补气药补肺脾气。缩泉丸中成药，基本上没有什么副作用，说明书上太严谨，只是参考用的，不用管 这样，中成药方案换成，参苓白术散（健脾补肺气），和缩泉丸饭前半小时吃金匮肾气丸饭后半小时吃这个方案更好些只吃一种不行，本来成药作用就弱，一种根本不行，出不来效果 有几点注意首先、不能房劳过度。其次，夜里十一点之前必须休息。第三，饮食忌口，忌辛辣寒凉甜食，最好晚上睡前泡脚搓揉脚心第四，每天坚持锻炼半小时以上 不客气，应该的再给您个食疗方法，小米红枣山药薏米煮粥喝，熬四十分钟，一天两次，健脾养胃祛湿的，对尿频也有好处如果对本次咨询还满意，希望您能给个好评，谢谢，非常感谢！";2020/3/19
7;"中医科";"肠胃湿阻大小便不畅";"你好，这种情况有多长时间了？ 平时体力如何？胃口怎么样？肠道有做过哪些检查呢？ 大便会粘么？ 舌头可以拍过看看么？ 您的这种情况，一方面要去湿，另外一方面要健脾补气。我建议您可以服用：参苓白术丸。配合平时用黄芪泡水喝，有条件可以配合艾灸神阙穴，效果更好 苔很厚腻，这是脾虚湿滞的表现。可以服用：参苓白术丸。饮食要清淡为主，有时间可以做一点红豆薏米粥，配合去湿 药物只是一种办法，您可以试试我建议的艾灸，艾灸神阙穴。这个效果也很不错 大小便的问题，中医会考虑到肾的原因，有的医生会用补肾的办法，这是不同思路的区别 但总体来说，还是以脾的问题为主，也可配合上补肾的药物，比如：金匱肾气丸 您可以试着调整一下剂量，金匱肾气丸先以一半的剂量来服用，减少不适的反应，并在服用时，用淡盐水送服，也会更温和一些 您可以试着跟艾灸配合起来，艾灸与中药结合，比单纯使用药物，会更有效 这两张处方，第一张是以温阳祛湿为主，第二张则是以补气健脾为主，取决于医生的理解和看法 我个人的做法，这个时候我会做针灸，用艾灸，或者针刺穴位的办法，加强药物的效果，调和气血。药物的思路基本不会有大的变动，中医内科多是以刚才两个思路进行治疗 除非是在药物的剂量上会有变动，比如补气药，温阳药剂量会加大。但我建议先用针刺的办法，可针刺足三里，公孙，三阴交，水道，水分，天枢，曲池，合谷 不客气，我只是提供我个人的意见，您最好把针刺，艾灸配合起来，这样效果会更明显。 党参30g白术25g.茯苓30g.甘草6g.桔梗8g.莲子30g.扁豆15g.砂仁6g.木香6g.山药20g.薏苡仁30g.法半夏12g。厚朴8g.苍术12g.3剂。日1剂1日2次早晚饭后温服 我个人还是偏向补气的思路，我加大了党参的量，温阳方面可以配合金匱肾气丸 配合针刺调理一段时间，我不建议再加猛药上去。阴虚不大可能，阳虚倒还有。所以有的医生会用温阳的思路。 脂肪肝中医多从祛湿的角度去治疗，现代医学认为这是代谢类的问题，主要需提高代谢，多运动，饮食以低脂低盐为主，不要熬夜。 红枣可以去掉，会助湿，加木香6砂仁6，";2020/3/19
8;"中医科";"刚才看电视的时候看到孩子时不时把手伸进内裤里扣,是怎么回事";"您好，孩子平时内裤换的勤吗？ 嗯 可能考虑孩子有痒的症状才会挠的 可以检查看看，看看有没有破皮之类，或者内裤嘞的紧 嗯 也可以，也可以先用温水给他洗洗看看 我是男医生，先别发了，可以先洗洗看看 有点红，考虑过敏了 这个说不清楚。孩子接触过什么东西没有 可以先用温水洗洗看看 哦哦，如果痒他老接触也会的 老是挠也会红的 可以得，先洗洗看看 嗯嗯，可以小便了洗洗，勤换内裤";2020/3/19
9;"中医科";"试纸弱性显示是排卵期吗?";"您好，请问有什么不舒服吗 您好 是排卵试纸吗 颜色有点淡 例假啥时候来的 多长时间来一次 不是 只是离排卵期很近了 可以说是围排卵期 那以防万一，还是要吃的 精子在体内可存活三天左右 嗯嗯，是的 一般试纸强阳的话，24到36小时排卵 不客气的 嗯 弱阳性 单凭试纸不好说 你月经周期是多久 30天吗 今天是月经第九天 按你的周期算，大概差不多是月经第15天左右排卵 一般按月经第一天开始算 嗯嗯 嗯，差不多的 不行的 给你算的也是估算 围排卵期也跟容易受孕的 嗯嗯";2020/3/19
